ui_timestamp,sequence,backend_bid,backend_ask,backend_event_time,websocket_bid,websocket_ask,ui_bid,ui_ask,ui_event_time,receipt_to_dom_ms
2026-09-21T08:20:08.407000+00:00,36,4353.63,4354.04,2026-09-21T08:20:08.359000Z,4353.63,4354.04,4353.63,4354.04,2026-09-21T08:20:08.359000Z,121.545
2026-09-21T08:20:08.747000+00:00,38,4353.63,4354.05,2026-09-21T08:20:08.674000Z,4353.63,4354.05,4353.63,4354.05,2026-09-21T08:20:08.674000Z,55.707
2026-09-21T08:20:09.077000+00:00,39,4353.63,4354.05,2026-09-21T08:20:08.674000Z,4353.63,4354.05,4353.63,4354.05,2026-09-21T08:20:08.674000Z,186.417
2026-09-21T08:20:09.373000+00:00,41,4353.65,4354.07,2026-09-21T08:20:09.356000Z,4353.65,4354.07,4353.65,4354.07,2026-09-21T08:20:09.356000Z,65.085
2026-09-21T08:20:09.625000+00:00,42,4353.67,4354.09,2026-09-21T08:20:09.585000Z,4353.67,4354.09,4353.67,4354.09,2026-09-21T08:20:09.585000Z,105.066
2026-09-21T08:20:09.898000+00:00,43,4353.66,4354.07,2026-09-21T08:20:09.668000Z,4353.66,4354.07,4353.66,4354.07,2026-09-21T08:20:09.668000Z,176.808
2026-09-21T08:20:10.203000+00:00,45,4353.67,4354.09,2026-09-21T08:20:10.171000Z,4353.67,4354.09,4353.67,4354.09,2026-09-21T08:20:10.171000Z,77.07
2026-09-21T08:20:10.433000+00:00,46,4353.68,4354.10,2026-09-21T08:20:10.407000Z,4353.68,4354.10,4353.68,4354.10,2026-09-21T08:20:10.407000Z,109.589
2026-09-21T08:20:10.695000+00:00,47,4353.69,4354.11,2026-09-21T08:20:10.487000Z,4353.69,4354.11,4353.69,4354.11,2026-09-21T08:20:10.487000Z,168.059
2026-09-21T08:20:10.988000+00:00,49,4353.73,4354.14,2026-09-21T08:20:10.668000Z,4353.73,4354.14,4353.73,4354.14,2026-09-21T08:20:10.668000Z,58.451
2026-09-21T08:20:11.359000+00:00,50,4353.73,4354.14,2026-09-21T08:20:10.668000Z,4353.73,4354.14,4353.73,4354.14,2026-09-21T08:20:10.668000Z,216.67
2026-09-21T08:20:11.594000+00:00,52,4353.77,4354.19,2026-09-21T08:20:11.535000Z,4353.77,4354.19,4353.77,4354.19,2026-09-21T08:20:11.535000Z,31.687
2026-09-21T08:20:11.844000+00:00,53,4353.78,4354.20,2026-09-21T08:20:11.733000Z,4353.78,4354.20,4353.78,4354.20,2026-09-21T08:20:11.733000Z,85.842
2026-09-21T08:20:12.148000+00:00,54,4353.66,4354.07,2026-09-21T08:20:12.031000Z,4353.66,4354.07,4353.66,4354.07,2026-09-21T08:20:12.031000Z,192.231
2026-09-21T08:20:12.396000+00:00,56,4353.53,4353.95,2026-09-21T08:20:12.512000Z,4353.53,4353.95,4353.53,4353.95,2026-09-21T08:20:12.512000Z,9.899
2026-09-21T08:20:12.645000+00:00,57,4353.35,4353.77,2026-09-21T08:20:12.652000Z,4353.35,4353.77,4353.35,4353.77,2026-09-21T08:20:12.652000Z,72.355
2026-09-21T08:20:12.898000+00:00,58,4353.34,4353.76,2026-09-21T08:20:12.885000Z,4353.34,4353.76,4353.34,4353.76,2026-09-21T08:20:12.885000Z,121.773
2026-09-21T08:20:13.196000+00:00,60,4353.13,4353.54,2026-09-21T08:20:13.286000Z,4353.13,4353.54,4353.13,4353.54,2026-09-21T08:20:13.286000Z,18.275
2026-09-21T08:20:13.501000+00:00,61,4352.94,4353.35,2026-09-21T08:20:13.513000Z,4352.94,4353.35,4352.94,4353.35,2026-09-21T08:20:13.513000Z,119.931
2026-09-21T08:20:13.737000+00:00,62,4352.92,4353.34,2026-09-21T08:20:13.669000Z,4352.92,4353.34,4352.92,4353.34,2026-09-21T08:20:13.669000Z,154.92
2026-09-21T08:20:13.989000+00:00,64,4352.92,4353.34,2026-09-21T08:20:14.081000Z,4352.92,4353.34,4352.92,4353.34,2026-09-21T08:20:14.081000Z,2.398
2026-09-21T08:20:14.341000+00:00,65,4352.92,4353.33,2026-09-21T08:20:14.167000Z,4352.92,4353.33,4352.92,4353.33,2026-09-21T08:20:14.167000Z,138.873
2026-09-21T08:20:14.647000+00:00,67,4352.91,4353.32,2026-09-21T08:20:14.568000Z,4352.91,4353.32,4352.91,4353.32,2026-09-21T08:20:14.568000Z,49.081
